Date,predicted_price,prediction_date
2024-07-23,67994.24169921875,2024-07-30
2020-08-31,11666.88241373698,2020-09-07
2024-09-29,61856.062109375,2024-10-06
2020-11-18,18281.64091796875,2020-11-25
2025-03-20,84857.12486979166,2025-03-27
2021-01-10,38192.62504882812,2021-01-17
2023-10-31,35460.77454427083,2023-11-07
2022-05-18,27228.113704427084,2022-05-25
2022-03-06,41549.01263020833,2022-03-13
2020-08-05,11282.278653971354,2020-08-12
2022-01-01,47609.78870442708,2022-01-08
2024-04-14,64020.29847005208,2024-04-21
2023-06-27,29423.163671875,2023-07-04
2020-01-28,9074.35537109375,2020-02-04
2023-09-06,26622.980305989582,2023-09-13
2020-11-23,19845.369189453126,2020-11-30
2022-07-30,22608.297233072917,2022-08-06
2023-05-09,27291.658317057292,2023-05-16
2020-09-05,10369.382291666667,2020-09-12
2023-09-25,26713.602604166666,2023-10-02
2021-11-24,58259.55234375,2021-12-01
2023-01-12,19890.92937825521,2023-01-19
2024-02-02,42254.489518229166,2024-02-09
2021-09-22,44389.54568684896,2021-09-29
2023-07-31,29003.01433919271,2023-08-07
2020-05-28,9594.433707682292,2020-06-04
2021-05-25,41894.18452148438,2021-06-01
2020-04-01,6799.430655924479,2020-04-08
2024-06-20,62457.515852864584,2024-06-27
2022-02-13,42195.827734375,2022-02-20
2020-03-02,9087.207828776041,2020-03-09
2022-01-14,44105.50589192708,2022-01-21
2024-08-15,56243.3662109375,2024-08-22
2023-05-29,28326.94552408854,2023-06-05
2022-07-23,22847.259440104168,2022-07-30
2023-10-22,29574.41971028646,2023-10-29
2022-10-28,20174.491341145833,2022-11-04
2020-12-20,22898.901920572916,2020-12-27
2020-10-16,11290.704711914062,2020-10-23
2021-02-21,59825.19658203125,2021-02-28
2024-08-06,59547.63229166667,2024-08-13
2020-06-22,9736.302587890625,2020-06-29
2022-12-20,17257.654703776043,2022-12-27
2022-01-19,42880.8751953125,2022-01-26
2021-03-06,50930.75598958333,2021-03-13
2022-10-30,21540.17010904948,2022-11-06
2023-11-15,38515.80992838542,2023-11-22
2025-01-17,101118.71184895834,2025-01-24
