predicted_price,prediction_date,timestamp,real_price
85180.33704427084,2025-03-16,1742124993265.0,83628.6441056899
98569.59479166666,2024-11-27,1732665600000.0,91931.83077291827
66518.78121744792,2024-11-12,1731369600000.0,88637.42000322911
101394.07272135415,2024-12-23,1734912000000.0,95094.27394862173
60166.3580078125,2024-09-22,1726963200000.0,63403.402349259355
98596.24186197916,2024-11-29,1732838400000.0,95661.59595817851
61730.9931640625,2024-08-07,1722988800000.0,55959.84107399357
92433.48977864585,2024-11-22,1732233600000.0,98509.11859102432
65701.67073567708,2024-06-21,1718928000000.0,64844.67441797763
95081.05104166668,2025-01-03,1735862400000.0,96852.14681235075
85690.722265625,2025-03-05,1741132800000.0,87310.80531078295
64522.93997395833,2024-06-23,1719100800000.0,64239.90348813148
61404.82867838542,2024-09-09,1725840000000.0,54792.40755768575
93970.074609375,2024-12-29,1735430400000.0,95184.61945288602
87719.9529296875,2025-03-09,1741478400000.0,86142.9833586432
66218.04410807292,2024-07-08,1720396800000.0,55880.3753776708
68595.43681640625,2024-11-05,1730764800000.0,67793.29782704762
95122.4498046875,2024-11-23,1732320000000.0,98927.49494553401
59124.42239583333,2024-09-12,1726099200000.0,57381.764445000474
56456.84954427083,2024-09-15,1726358400000.0,60003.29940083042
67994.24169921875,2024-07-30,1722297600000.0,66770.32091848266
61856.062109375,2024-10-06,1728172800000.0,62091.932585194016
84857.12486979166,2025-03-27,1743033600000.0,86960.8555491039
62457.51585286458,2024-06-27,1719446400000.0,60749.89619402014
56243.3662109375,2024-08-22,1724284800000.0,61144.68762866613
59547.63229166667,2024-08-13,1723507200000.0,59350.07433270696
101118.71184895834,2025-01-24,1737676800000.0,104067.60991206947
95943.32779947916,2025-03-13,1741824000000.0,83884.24578828987
95983.26490885417,2024-12-09,1733702400000.0,101235.3717025316
62153.949381510414,2024-08-01,1722470400000.0,64679.778647032515
61600.62483723959,2024-07-31,1722384000000.0,66219.05102486102
67428.93118489583,2024-10-31,1730332800000.0,72342.62171127986
96011.95130208334,2024-12-17,1734393600000.0,106074.10723541168
63567.83453776042,2024-10-12,1728691200000.0,62392.34048293159
97491.27649739584,2024-12-15,1734220800000.0,101367.01064553364
60979.5150390625,2024-09-08,1725753600000.0,54150.9383589072
95670.7845703125,2024-12-16,1734307200000.0,104721.50151808978
96615.22063802084,2025-03-01,1740787200000.0,84441.9012237131
98860.87799479166,2025-02-01,1738368000000.0,102382.39409722165
60702.13356119792,2024-08-16,1723766400000.0,57624.11692852191
88639.56783854167,2024-11-19,1731974400000.0,90534.62459650292
100055.95559895832,2025-01-19,1737244800000.0,104334.61575724394
61571.15270182292,2024-06-28,1719532800000.0,61562.64532550036
83881.80729166667,2025-03-08,1741392000000.0,86773.33597555371
61112.22887369792,2024-09-10,1725926400000.0,57049.118751143265
64536.51666666667,2024-10-03,1727913600000.0,60655.55979196848
61393.48411458333,2024-10-09,1728432000000.0,62185.230423727575
86441.85084635417,2025-03-07,1741305600000.0,90001.40087607042
96099.63951822916,2025-01-05,1736035200000.0,98256.73876849933
101893.02708333332,2024-12-20,1734652800000.0,97851.35377075805
99093.52330729166,2025-02-06,1738800000000.0,96582.88682919052
94847.5333984375,2025-02-16,1739664000000.0,97569.95169430465
96818.39798177085,2024-12-06,1733443200000.0,97201.50036407741
62186.098958333336,2024-08-17,1723852800000.0,58881.92579151217
97361.1193359375,2025-02-02,1738454400000.0,100674.78762544956
97217.1775390625,2024-12-26,1735171200000.0,99344.95417367229
67955.86604817708,2024-10-23,1729641600000.0,67351.04793512498
58996.50403645833,2024-08-19,1724025600000.0,58438.293742685404
95851.34830729169,2025-02-12,1739318400000.0,95739.97737079239
85180.33704427084,2025-03-16,1742083200000.0,84391.69087647168
101351.9875,2024-12-25,1735084800000.0,98695.71400782601
100655.96888020834,2025-02-10,1739145600000.0,96548.57865379585
59684.48831380208,2024-08-15,1723680000000.0,58739.19382231015
59519.80361328125,2024-08-21,1724198400000.0,59060.12610074137
60978.18209635417,2024-07-21,1721520000000.0,67206.06470614894
101973.99244791668,2024-12-19,1734566400000.0,100355.5761481501
67847.31910807292,2024-10-27,1729987200000.0,67018.1650170265
97685.18157552084,2025-02-14,1739491200000.0,96561.6639990985
60719.2767578125,2024-09-25,1727222400000.0,64334.14274876097
61517.28486328125,2024-07-20,1721433600000.0,66689.54880734957
95809.6146484375,2024-12-07,1733529600000.0,99973.85150659826
61711.55022786458,2024-10-11,1728604800000.0,60195.18073772453
95453.34309895831,2025-01-15,1736899200000.0,96574.07768799194
61511.207421875,2024-07-17,1721174400000.0,65162.23625234354
76716.66637369791,2024-11-13,1731456000000.0,88264.59974582895
63457.40725911458,2024-09-30,1727654400000.0,65663.68986662335
96901.2904296875,2025-01-21,1737417600000.0,101764.90860170545
98569.59479166666,2024-11-27,1732665600000.0,91931.83077291827
66518.78121744792,2024-11-12,1731369600000.0,88637.42000322911
101394.07272135415,2024-12-23,1734912000000.0,95094.27394862173
60166.3580078125,2024-09-22,1726963200000.0,63403.402349259355
98596.24186197916,2024-11-29,1732838400000.0,95661.59595817851
61730.9931640625,2024-08-07,1722988800000.0,55959.84107399357
92433.48977864585,2024-11-22,1732233600000.0,98509.11859102432
65701.67073567708,2024-06-21,1718928000000.0,64844.67441797763
95081.05104166668,2025-01-03,1735862400000.0,96852.14681235075
85690.722265625,2025-03-05,1741132800000.0,87310.80531078295
64522.93997395833,2024-06-23,1719100800000.0,64239.90348813148
61404.82867838542,2024-09-09,1725840000000.0,54792.40755768575
