date,close_btc,close_eth,high_btc,high_eth,low_btc,low_eth,open_btc,open_eth,volume_btc,volume_eth
2020-01-01,7200.17431640625,130.802001953125,7254.33056640625,132.83535766601562,7174.9443359375,129.1982879638672,7194.89208984375,129.6306610107422,18565664997,7935230330
2020-01-02,6985.47021484375,127.4101791381836,7212.1552734375,130.82003784179688,6935.27001953125,126.95491027832031,7202.55126953125,130.82003784179688,20802083465,8032709256
2020-01-03,7344.88427734375,134.1717071533203,7413.71533203125,134.55401611328125,6914.99609375,126.49002075195312,6984.4287109375,127.41126251220703,28111481032,10476845358
2020-01-04,7410.65673828125,135.06936645507812,7427.3857421875,136.05271911621094,7309.51416015625,133.04055786132812,7345.37548828125,134.16851806640625,18444271275,7430904515
2020-01-05,7411.3173828125,136.2767791748047,7544.4970703125,139.4102020263672,7400.53564453125,135.04562377929688,7410.45166015625,135.0720977783203,19725074095,7526675353
2020-01-06,7769.21923828125,144.3041534423828,7781.8671875,144.32818603515625,7409.29296875,136.0796356201172,7410.4521484375,136.3055419921875,23276261598,9093747121
2020-01-07,8163.6923828125,143.5439910888672,8178.2158203125,145.00177001953125,7768.2275390625,140.48887634277344,7768.68212890625,144.31199645996094,28767291327,9257954672
2020-01-08,8079.86279296875,141.2581329345703,8396.73828125,146.8280029296875,7956.7744140625,138.26820373535156,8161.935546875,143.48782348632812,31672559265,9387194957
2020-01-09,7879.0712890625,138.9792022705078,8082.2958984375,141.39398193359375,7842.40380859375,136.2364044189453,8082.2958984375,141.15577697753906,24045990466,7697325348
2020-01-10,8166.55419921875,143.96377563476562,8166.55419921875,144.16732788085938,7726.77490234375,135.52040100097656,7878.3076171875,138.967041015625,28714583844,9084816203
2020-01-11,8037.53759765625,142.92710876464844,8218.359375,146.4809112548828,8029.64208984375,142.2079620361328,8162.19091796875,143.4091033935547,25521165085,9332208590
2020-01-12,8192.494140625,145.87393188476562,8200.0634765625,146.14585876464844,8009.05908203125,142.7076416015625,8033.26171875,143.0325469970703,22903438381,8528167453
2020-01-13,8144.1943359375,144.22659301757812,8197.7880859375,146.79122924804688,8079.70068359375,142.90713500976562,8189.77197265625,146.2201385498047,22482910688,8378529470
2020-01-14,8827.7646484375,165.95535278320312,8879.51171875,167.68154907226562,8140.93310546875,144.06492614746094,8140.93310546875,144.2510528564453,44841784107,16712318373
2020-01-15,8807.0107421875,166.23068237304688,8890.1171875,170.42567443847656,8657.1875,161.109619140625,8825.34375,165.734619140625,40102834650,15173694057
